row,col,x0,y0,x1,y1,mae,rmse,ssim,foreground_iou,edge_iou
1,2,180,61,270,122,215.83242797851562,218.56316128009772,nan,0.6499089253187614,0.005299015897047691
3,7,630,182,720,243,215.78282165527344,221.24464153115665,nan,0.05081967213114754,0.13976945244956773
1,5,450,61,540,122,215.64990234375,218.90653327961684,nan,0.6171220400728598,0.01783517835178352
5,1,90,304,180,365,215.49484252929688,219.65318010730007,nan,0.30156991602774735,0.023939064200217627
4,11,990,243,1080,304,215.3138427734375,219.24440557286746,nan,0.304735883424408,0.03735144312393888
2,9,810,122,900,182,214.07000732421875,218.66955663740666,nan,0.31666666666666665,0.017811704834605598
3,3,270,182,360,243,213.3114776611328,219.48312862268025,nan,0.03424408014571949,0.1330532212885154
1,9,810,61,900,122,210.8735809326172,214.55736594498453,nan,0.8549743964886612,0.03198781416603199
2,8,720,122,810,182,210.5008087158203,218.37162812222195,nan,0.20552260934025204,0.06698950766747377
0,0,0,0,90,61,209.88087463378906,217.70963316996333,nan,0.014905906465436929,0.006844106463878327
1,1,90,61,180,122,208.61749267578125,215.94019535220858,nan,0.3100263852242744,0.048728813559322036
2,7,630,122,720,182,208.34185791015625,213.35216083098385,nan,0.15407407407407409,0.058637083993660855
0,8,720,0,810,61,208.1702423095703,223.11037241968378,nan,0.01299492385786802,0.06740331491712707
4,8,720,243,810,304,207.87911987304688,213.3076838014749,nan,0.13299325924576424,0.044926413632842756
5,2,180,304,270,365,207.1138458251953,212.153992199652,nan,0.31346294937637564,0.013026052104208416
2,3,270,122,360,182,206.0977783203125,212.44616965245572,nan,0.11725417439703154,0.04869565217391304
3,9,810,182,900,243,205.92872619628906,212.3471417131627,nan,0.4581056466302368,0.038834951456310676
2,1,90,122,180,182,203.69654846191406,214.15285501832562,nan,0.14672337135124686,0.052444444444444446
5,4,360,304,450,365,203.5900421142578,208.45353199214446,nan,0.4091572418825246,0.0274858528698464
0,4,360,0,450,61,202.0452880859375,218.29025795657947,nan,0.06516492357200322,0.06468531468531469
0,3,270,0,360,61,201.6840362548828,218.0649989108752,nan,0.009461127108185932,0.05894962486602358
2,2,180,122,270,182,201.22401428222656,209.52798515353504,nan,0.272037037037037,0.0260950605778192
5,6,540,304,630,365,201.14419555664062,206.321398626633,nan,0.47809419496166483,0.027834351663272233
0,2,180,0,270,61,200.9634552001953,216.94567472353535,nan,0.0108807226442209,0.03907815631262525
5,3,270,304,360,365,200.29641723632812,206.92525824558007,nan,0.3589979738441702,0.050806451612903224
0,9,810,0,900,61,199.43775939941406,217.2027602552509,nan,0.04907848415821081,0.11439466158245949
4,3,270,243,360,304,199.43011474609375,205.51587149779942,nan,0.09143897996357013,0.11666666666666667
0,7,630,0,720,61,199.27577209472656,216.85979773807776,nan,0.07936507936507936,0.03466204506065858
4,9,810,243,900,304,199.1659393310547,205.5763335266246,nan,0.25018450184501845,0.07254740313272877
4,7,630,243,720,304,198.89308166503906,205.06375723479272,nan,0.17103825136612022,0.08902532617037605
3,4,360,182,450,243,198.65835571289062,204.78974545555255,nan,0.5479052823315118,0.11007268951194185
5,9,810,304,900,365,194.43746948242188,200.81513575923503,nan,0.4819672131147541,0.057328605200945626
5,5,450,304,540,365,191.92453002929688,199.21181605580026,nan,0.43975018368846436,0.0423905489923558
3,6,540,182,630,243,190.11900329589844,197.09967338887196,nan,0.714936247723133,0.10175145954962468
4,4,360,243,450,304,189.65756225585938,197.80824442499863,nan,0.10611050128064398,0.10310077519379846
4,6,540,243,630,304,188.09283447265625,195.87093167440645,nan,0.15648994515539305,0.08387942332896461
2,6,540,122,630,182,186.00802612304688,194.43844422785838,nan,0.11222780569514237,0.0979498861047836
5,8,720,304,810,365,185.91397094726562,194.09714867818127,nan,0.37556973564266183,0.07971938775510204
2,5,450,122,540,182,185.36537170410156,195.06767655739378,nan,0.145068058922245,0.1102791014295439
0,6,540,0,630,61,184.89987182617188,205.33270448530598,nan,0.2372983870967742,0.04976851851851852
2,4,360,122,450,182,184.8524627685547,193.29345404074087,nan,0.14450437046680306,0.11203897007654837
5,10,900,304,990,365,183.47073364257812,192.89122177408697,nan,0.4794295117937466,0.047619047619047616
5,7,630,304,720,365,181.25003051757812,190.866803605944,nan,0.4385515727871251,0.07235142118863049
4,10,900,243,990,304,178.63491821289062,187.3559967848641,nan,0.4608167770419426,0.05585980284775466
4,5,450,243,540,304,177.14784240722656,187.59749548568072,nan,0.28806133625410735,0.11457286432160804
3,5,450,182,540,243,176.45179748535156,185.51483473364064,nan,0.7606121333576243,0.11455451023796348
0,5,450,0,540,61,172.16885375976562,195.2198180097246,nan,0.3251121076233184,0.07282772476142642
